"ostja","kaup",,
1,"Jahud",,
1,"Köögiviljad",,
1,"Kuivtoidud",,
1,"Saiad",,
1,"Konservid",,
1,"tang",,
1,"hakklihad",,
1,"kommid",,
1,"Lihaproduktid",,
1,"maitseained",,
2,"äädikas",,
2,"Konservid",,
2,"pärm",,
2,"kuivatatud",,
2,"ihuhooldusvahendid",,
2,"siidrid",,
2,"pant 1.0",,
2,"kala",,
2,"Konservid",,
3,"munad",,
3,"kala",,
3,"majapidamispaber",,
3,"siidrid",,
3,"pant 1.0",,
3,"maitseained",,
3,"Lihaproduktid",,
3,"wc paber",,
3,"lihaproduktid",,
3,"siidrid",,
3,"pant 0.5",,
4,"maitseained",,
4,"maitseained",,
4,"maitseained",,
4,"maitseained",,
4,"leivad",,
4,"saiad",,
4,"kala õlis",,
4,"lihaproduktid",,
4,"piim",,
5,"köögiviljad",,
5,"ketšupid",,
5,"köögiviljad",,
5,"saiad",,
5,"köögiviljad",,
5,"tang",,
5,"jäätis",,
6,"keefir",,
6,"saiad",,
6,"koored",,
6,"tee",,
6,"piim",,
6,"piim",,
6,"köögiviljad",,
6,"tang",,
7,"saiad",,
7,"leivad",,
7,"munad",,
7,"kala õlis",,
7,"koored",,
7,"piim",,
7,"juustud",,
7,"konserveeritud",,
8,"piim",,
8,"munad",,
8,"köögiviljad",,
8,"tang",,
8,"köögiviljad",,
8,"köögiviljad",,
8,"köögiviljad",,
8,"pant 0.5",,
8,"õlled",,
8,"saiad",,
8,"koored",,
8,"leivad",,
8,"liha",,
9,"õlled",,
9,"pant 1.0",,
9,"saiad",,
9,"leivad",,
9,"koored",,
9,"muud alkohoolsed joogid",,
9,"pant 0.5",,
9,"keefir",,
9,"piim",,
9,"siidrid",,
9,"pant 0.5",,
10,"lihaproduktid",,
10,"saiad",,
10,"veinid",,
10,"maitseained",,
10,"maitseained",,
10,"majapidamispaber",,
10,"võid, margariinid",,
10,"liha",,
10,"siidrid",,
10,"pant 0.5",,
10,"keefir",,
10,"piim",,
10,"leivad",,
10,"lihaproduktid",,
11,"saiad",,
11,"munad",,
11,"maitseained",,
11,"maitseained",,
11,"maitseained",,
11,"õlid",,
11,"köögiviljad",,
12,"saiad",,
12,"saiad",,
12,"lihaproduktid",,
12,"lihaproduktid",,
12,"maitseained",,
12,"maitseained",,
12,"kalafileed",,
12,"kala õlis",,
12,"kohv",,
13,"ajalehed",,
13,"õlled",,
13,"pant 0.5",,
13,"krõpsud",,
13,"kalaproduktid",,
13,"saiad",,
13,"saiad",,
13,"lihaproduktid",,
14,"siidrid",,
14,"õlled",,
